NAMESPACE         LAST SEEN   TYPE      REASON               OBJECT                                                       MESSAGE
moneymaker        3m44s       Normal    Generated            certificate/dograh-minio-console-tls                         Stored new private key in temporary Secret resource "dograh-minio-console-tls-g9chd"
moneymaker        3m44s       Normal    CreateCertificate    ingress/dograh-minio-console                                 Successfully created Certificate "dograh-minio-console-tls"
moneymaker        3m44s       Normal    Requested            certificate/dograh-minio-console-tls                         Created new CertificateRequest resource "dograh-minio-console-tls-1"
moneymaker        3m44s       Normal    Issuing              certificate/dograh-minio-console-tls                         Issuing certificate as Secret does not exist
moneymaker        3m44s       Normal    OrderCreated         certificaterequest/dograh-minio-console-tls-1                Created Order resource moneymaker/dograh-minio-console-tls-1-1818148888
moneymaker        3m44s       Normal    cert-manager.io      certificaterequest/dograh-minio-console-tls-1                Certificate request has been approved by cert-manager.io
moneymaker        3m44s       Normal    WaitingForApproval   certificaterequest/dograh-minio-console-tls-1                Not signing CertificateRequest until it is Approved
moneymaker        3m44s       Normal    WaitingForApproval   certificaterequest/dograh-minio-console-tls-1                Not signing CertificateRequest until it is Approved
moneymaker        3m44s       Normal    WaitingForApproval   certificaterequest/dograh-minio-console-tls-1                Not signing CertificateRequest until it is Approved
moneymaker        3m44s       Normal    WaitingForApproval   certificaterequest/dograh-minio-console-tls-1                Not signing CertificateRequest until it is Approved
moneymaker        3m44s       Normal    WaitingForApproval   certificaterequest/dograh-minio-console-tls-1                Not signing CertificateRequest until it is Approved
moneymaker        3m43s       Normal    Created              order/dograh-minio-console-tls-1-1818148888                  Created Challenge resource "dograh-minio-console-tls-1-1818148888-697079774" for domain "minio-mm.activi-apps.io"
moneymaker        3m43s       Normal    Started              challenge/dograh-minio-console-tls-1-1818148888-697079774    Challenge scheduled for processing
moneymaker        3m42s       Normal    Sync                 ingress/cm-acme-http-solver-r84sb                            Scheduled for sync
moneymaker        3m42s       Normal    Created              pod/cm-acme-http-solver-2h8zk                                Created container: acmesolver
moneymaker        3m42s       Normal    Pulled               pod/cm-acme-http-solver-2h8zk                                Container image "quay.io/jetstack/cert-manager-acmesolver:v1.20.2" already present on machine
moneymaker        3m42s       Normal    Presented            challenge/dograh-minio-console-tls-1-1818148888-697079774    Presented challenge using HTTP-01 challenge mechanism
moneymaker        3m42s       Normal    Sync                 ingress/cm-acme-http-solver-r84sb                            Scheduled for sync
moneymaker        3m42s       Normal    Sync                 ingress/cm-acme-http-solver-r84sb                            Scheduled for sync
moneymaker        3m41s       Normal    Started              pod/cm-acme-http-solver-2h8zk                                Started container acmesolver
moneymaker        3m23s       Normal    Killing              pod/cm-acme-http-solver-2h8zk                                Stopping container acmesolver
moneymaker        3m23s       Normal    DomainVerified       challenge/dograh-minio-console-tls-1-1818148888-697079774    Domain "minio-mm.activi-apps.io" verified with "HTTP-01" validation
moneymaker        3m22s       Normal    CertificateIssued    certificaterequest/dograh-minio-console-tls-1                Certificate fetched from issuer successfully
moneymaker        3m22s       Normal    Issuing              certificate/dograh-minio-console-tls                         The certificate has been successfully issued
moneymaker        3m21s       Normal    Complete             order/dograh-minio-console-tls-1-1818148888                  Order completed successfully
moneymaker        2m47s       Normal    Sync                 ingress/dograh-minio-console                                 Scheduled for sync
moneymaker        2m47s       Normal    Sync                 ingress/dograh-minio-console                                 Scheduled for sync
moneymaker        2m47s       Normal    Sync                 ingress/dograh-minio-console                                 Scheduled for sync
monitoring        2m37s       Warning   DNSConfigForming     pod/kube-prometheus-stack-prometheus-node-exporter-4k7sr     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.2 185.12.64.1 2a01:4ff:ff00::add:1
monitoring        2m23s       Warning   DNSConfigForming     pod/kube-prometheus-stack-prometheus-node-exporter-tq7w7     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.1 185.12.64.2 2a01:4ff:ff00::add:2
ingress-nginx     2m18s       Normal    RELOAD               pod/ingress-nginx-controller-phzrj                           NGINX reload triggered due to a change in configuration
ingress-nginx     2m18s       Normal    RELOAD               pod/ingress-nginx-controller-nstn7                           NGINX reload triggered due to a change in configuration
moneymaker        2m18s       Normal    Sync                 ingress/dograh                                               Scheduled for sync
moneymaker        2m18s       Normal    Sync                 ingress/dograh                                               Scheduled for sync
moneymaker        2m18s       Normal    Sync                 ingress/dograh                                               Scheduled for sync
ingress-nginx     2m18s       Normal    RELOAD               pod/ingress-nginx-controller-krv8r                           NGINX reload triggered due to a change in configuration
monitoring        119s        Warning   DNSConfigForming     pod/kube-prometheus-stack-prometheus-node-exporter-5vcmr     Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.1 185.12.64.2 2a01:4ff:ff00::add:2
kube-system       55s         Warning   DNSConfigForming     pod/coredns-dbd8c85f7-8f64r                                  Nameserver limits were exceeded, some nameservers have been omitted, the applied nameserver line is: 185.12.64.2 185.12.64.1 2a01:4ff:ff00::add:1
